
> temporal-research@0.1.0 task5 /Users/trh/Desktop/time-experiment
> node --env-file=.env --import tsx src/harness/task5.ts

This storage provider does not support batch creating metrics
task5 openai/mini iso rep1 specific: 15 items, 0 errors
This storage provider does not support batch creating scores
task5 openai/mini iso rep1 relative: 34 items, 0 errors
task5 openai/mini iso rep1 named: 23 items, 0 errors
task5 openai/mini iso rep1 custom: 12 items, 0 errors
task5 openai/mini iso rep1 ranges: 19 items, 0 errors
task5 openai/mini iso rep1 multipart: 14 items, 0 errors
task5 openai/mini iso rep1 notime: 8 items, 0 errors
task5 openai/mini iso rep1 ambiguous: 14 items, 0 errors
task5 openai/mini iso rep2 specific: 15 items, 0 errors
task5 openai/mini iso rep2 relative: 34 items, 0 errors
task5 openai/mini iso rep2 named: 23 items, 0 errors
task5 openai/mini iso rep2 custom: 12 items, 0 errors
task5 openai/mini iso rep2 ranges: 19 items, 0 errors
task5 openai/mini iso rep2 multipart: 14 items, 0 errors
task5 openai/mini iso rep2 notime: 8 items, 0 errors
task5 openai/mini iso rep2 ambiguous: 14 items, 0 errors
task5 openai/mini iso rep3 specific: 15 items, 0 errors
task5 openai/mini iso rep3 relative: 34 items, 0 errors
task5 openai/mini iso rep3 named: 23 items, 0 errors
task5 openai/mini iso rep3 custom: 12 items, 0 errors
task5 openai/mini iso rep3 ranges: 19 items, 0 errors
task5 openai/mini iso rep3 multipart: 14 items, 0 errors
task5 openai/mini iso rep3 notime: 8 items, 0 errors
task5 openai/mini iso rep3 ambiguous: 14 items, 0 errors
task5 openai/mini ir rep1 specific: 15 items, 0 errors
task5 openai/mini ir rep1 relative: 34 items, 0 errors
task5 openai/mini ir rep1 named: 23 items, 0 errors
task5 openai/mini ir rep1 custom: 12 items, 0 errors
task5 openai/mini ir rep1 ranges: 19 items, 0 errors
task5 openai/mini ir rep1 multipart: 14 items, 0 errors
task5 openai/mini ir rep1 notime: 8 items, 0 errors
task5 openai/mini ir rep1 ambiguous: 14 items, 0 errors
task5 openai/mini ir rep2 specific: 15 items, 0 errors
task5 openai/mini ir rep2 relative: 34 items, 0 errors
task5 openai/mini ir rep2 named: 23 items, 0 errors
task5 openai/mini ir rep2 custom: 12 items, 0 errors
task5 openai/mini ir rep2 ranges: 19 items, 0 errors
task5 openai/mini ir rep2 multipart: 14 items, 0 errors
task5 openai/mini ir rep2 notime: 8 items, 0 errors
task5 openai/mini ir rep2 ambiguous: 14 items, 0 errors
task5 openai/mini ir rep3 specific: 15 items, 0 errors
task5 openai/mini ir rep3 relative: 34 items, 0 errors
task5 openai/mini ir rep3 named: 23 items, 0 errors
task5 openai/mini ir rep3 custom: 12 items, 0 errors
task5 openai/mini ir rep3 ranges: 19 items, 0 errors
task5 openai/mini ir rep3 multipart: 14 items, 0 errors
task5 openai/mini ir rep3 notime: 8 items, 0 errors
task5 openai/mini ir rep3 ambiguous: 14 items, 0 errors
task5 anthropic/mini iso rep1 specific: 15 items, 0 errors
task5 anthropic/mini iso rep1 relative: 34 items, 0 errors
task5 anthropic/mini iso rep1 named: 23 items, 0 errors
task5 anthropic/mini iso rep1 custom: 12 items, 0 errors
task5 anthropic/mini iso rep1 ranges: 19 items, 0 errors
task5 anthropic/mini iso rep1 multipart: 14 items, 0 errors
task5 anthropic/mini iso rep1 notime: 8 items, 0 errors
task5 anthropic/mini iso rep1 ambiguous: 14 items, 0 errors
task5 anthropic/mini iso rep2 specific: 15 items, 0 errors
task5 anthropic/mini iso rep2 relative: 34 items, 0 errors
task5 anthropic/mini iso rep2 named: 23 items, 0 errors
task5 anthropic/mini iso rep2 custom: 12 items, 0 errors
task5 anthropic/mini iso rep2 ranges: 19 items, 0 errors
task5 anthropic/mini iso rep2 multipart: 14 items, 0 errors
task5 anthropic/mini iso rep2 notime: 8 items, 0 errors
task5 anthropic/mini iso rep2 ambiguous: 14 items, 0 errors
task5 anthropic/mini iso rep3 specific: 15 items, 0 errors
task5 anthropic/mini iso rep3 relative: 34 items, 0 errors
task5 anthropic/mini iso rep3 named: 23 items, 0 errors
task5 anthropic/mini iso rep3 custom: 12 items, 0 errors
task5 anthropic/mini iso rep3 ranges: 19 items, 0 errors
task5 anthropic/mini iso rep3 multipart: 14 items, 0 errors
task5 anthropic/mini iso rep3 notime: 8 items, 0 errors
